benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/uninlined-spec/scimark/,"Stopwatch: void reset()",11,229,156,5,304,17,17
java/uninlined-spec/scimark/,"Stopwatch: void <init>()",6,223,154,5,302,13,13
java/uninlined-spec/scimark/,"Stopwatch: void start()",14,243,165,10,337,28,28
java/uninlined-spec/scimark/,"Stopwatch: void resume()",11,252,176,8,340,24,24
java/uninlined-spec/scimark/,"Stopwatch: double stop()",19,256,170,18,357,37,35
java/uninlined-spec/scimark/,"Stopwatch: double read()",19,261,173,19,352,40,38
java/inlined-spec/scimark/,"LU: void <init>(int)",7,230,155,5,306,14,14
java/inlined-spec/scimark/,"LU: double num_flops(int)",14,239,161,14,307,16,13
java/inlined-spec/scimark/,"LU: double[] new_copy(double[])",22,3073,2480,526,3153,1360,986
java/inlined-spec/scimark/,"LU: double[][] new_copy(double[][])",43,6656,5957,628,6754,1129,1414
java/inlined-spec/scimark/,"LU: int[] new_copy(int[])",22,3352,2758,526,3428,1363,988
java/inlined-spec/scimark/,"LU: void insert_copy(double[][],double[][])",85,17349,16669,604,17463,842,1902
java/inlined-spec/scimark/,"LU: double[][] getLU()",46,2225,1529,625,2323,1095,1337
java/inlined-spec/scimark/,"LU: int[] getPivot()",24,4385,3779,535,4468,1177,875
java/inlined-spec/scimark/,"LU: double[] solve(double[])",136,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/inlined-spec/scimark/,"LU: int factor(double[][],int[])",163,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/inlined-spec/scimark/,"LU: void solve(double[][],int[],double[])",108,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/inlined-spec/scimark/,"Random: void <init>()",104,43921,43340,504,44053,794,671
java/inlined-spec/scimark/,"Random: void <init>(double,double)",118,54856,54265,509,54987,811,686
java/inlined-spec/scimark/,"Random: void <init>(int)",101,34704,34127,498,34826,787,672
java/inlined-spec/scimark/,"Random: void <init>(int,double,double)",115,101796,101218,500,101925,803,683
java/inlined-spec/scimark/,"Random: double nextDouble()",72,327,209,45,465,104,97
java/inlined-spec/scimark/,"Random: void nextDoubles(double[])",394,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/inlined-spec/scimark/,"Random: void initialize(int)",75,22041,21201,758,22149,772,662
java/inlined-spec/scimark/,"SparseCompRow: void <init>(int)",7,218,148,5,271,14,14
java/inlined-spec/scimark/,"SparseCompRow: double num_flops(int,int,int)",15,243,160,14,317,18,15
java/inlined-spec/scimark/,"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)",108,58455,57706,650,58692,919,1289
java/inlined-spec/scimark/,"SOR: void <init>(int)",7,226,155,5,302,14,14
java/inlined-spec/scimark/,"SOR: double num_flops(int,int,int)",22,8170,7799,291,8247,315,87
java/inlined-spec/scimark/,"SOR: double execute(double,double[][],int)",112,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/inlined-spec/scimark/,"MonteCarlo: void <init>()",4,219,149,4,268,10,10
java/inlined-spec/scimark/,"MonteCarlo: double num_flops(int)",6,226,149,10,294,10,9
java/inlined-spec/scimark/,"FFT: void <init>(int)",7,223,153,5,299,14,14
java/inlined-spec/scimark/,"FFT: double[] makeRandom(int)",21,3406,2650,682,3486,1091,754
java/inlined-spec/scimark/,"FFT: void bitreverse(double[])",87,10651,9874,690,10760,1429,1646
java/inlined-spec/scimark/,"Constants: void <init>()",4,219,147,4,292,10,10
java/inlined-spec/scimark/,"kernel: void <init>()",4,220,153,4,292,10,10
java/inlined-spec/scimark/,"kernel: double[] NewVectorCopy(double[])",22,3291,2682,539,3374,1359,985
java/inlined-spec/scimark/,"kernel: void CopyVector(double[],double[])",18,3791,3180,540,3874,1355,982
